id,domain,pattern,functional_area,text,functional_impact_weight,scoring_direction,interpretation
AB-AU-001,Auditory Processing,Sensitivity,Attention,The child becomes uncomfortable when several sounds occur at the same time.,1,frequency,screening_indicator_only
AB-AU-002,Auditory Processing,Sensitivity,Participation,"Unexpected everyday sounds can cause the child to pause, withdraw or become distressed.",1,frequency,screening_indicator_only
AB-AU-003,Auditory Processing,Filtering,Attention,Background conversations make it harder for the child to focus on a task.,1,frequency,screening_indicator_only
AB-AU-004,Auditory Processing,Filtering,Learning,The child needs verbal information presented with fewer competing sounds.,1,frequency,screening_indicator_only
AB-AU-005,Auditory Processing,Seeking,Regulation,The child deliberately creates sounds to stay engaged or regulated.,1,frequency,screening_indicator_only
AB-AU-006,Auditory Processing,Seeking,Play,The child repeatedly explores objects because of the sounds they produce.,1,frequency,screening_indicator_only
AB-AU-007,Auditory Processing,Low Registration,Communication,The child may not respond promptly when spoken to in an otherwise suitable environment.,1,frequency,screening_indicator_only
AB-AU-008,Auditory Processing,Low Registration,Learning,The child needs additional cues before responding to spoken directions.,1,frequency,screening_indicator_only
AB-AU-009,Auditory Processing,Functional Impact,School,Noise levels noticeably change the child's ability to participate in classroom activities.,2,frequency,screening_indicator_only
AB-AU-010,Auditory Processing,Functional Impact,Community,Busy or noisy public environments reduce the child's participation.,2,frequency,screening_indicator_only
AB-VI-011,Visual Processing,Sensitivity,Participation,Bright or visually intense environments make it harder for the child to remain comfortable.,1,frequency,screening_indicator_only
AB-VI-012,Visual Processing,Sensitivity,Attention,Busy visual environments quickly compete with the child's attention.,1,frequency,screening_indicator_only
AB-VI-013,Visual Processing,Seeking,Play,"The child repeatedly watches moving, reflective or visually changing objects.",1,frequency,screening_indicator_only
AB-VI-014,Visual Processing,Seeking,Regulation,The child looks for visual stimulation when waiting or becoming under-engaged.,1,frequency,screening_indicator_only
AB-VI-015,Visual Processing,Low Registration,Learning,The child may miss relevant visual information unless it is highlighted.,1,frequency,screening_indicator_only
AB-VI-016,Visual Processing,Low Registration,ADL,The child may overlook items that are visible but mixed with other objects.,2,frequency,screening_indicator_only
AB-VI-017,Visual Processing,Functional Impact,School,Visual clutter affects the child's ability to complete classroom work.,2,frequency,screening_indicator_only
AB-VI-018,Visual Processing,Functional Impact,Community,Crowded visual environments make navigation or participation harder.,2,frequency,screening_indicator_only
AB-TA-019,Tactile Processing,Sensitivity,Grooming,"The child becomes uncomfortable when hair, face, nails or skin are handled during care routines.",2,frequency,screening_indicator_only
